Well,Sample,Target,Task,Amp Status,Ct,Ct Mean,Cq Confidence,Ct Standard Deviation,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Omit
A1,S13,actb,Unknown,Amp,14.170067,13.944395,0.9589583,0.31914875,true,0.05068968,true,3,11,81.27884,,,false
A2,S14,actb,Unknown,Amp,13.12247,12.9735565,0.98560566,0.21059532,true,0.05068968,true,3,10,81.41882,,,false
A3,S15,actb,Unknown,Amp,12.638649,12.768053,0.9859892,0.18300566,true,0.05068968,true,3,9,81.27884,,,false
A4,S16,actb,Unknown,Amp,13.360068,13.355926,0.9874949,0.005858749,true,0.05068968,true,3,10,81.138855,,,false
A5,S17,actb,Unknown,Amp,13.613044,13.584133,0.9822485,0.040885814,true,0.05068968,true,3,10,81.69879,,,false
A6,S18,actb,Unknown,Amp,14.120183,14.132284,0.9882617,0.017114317,true,0.05068968,true,3,11,81.55881,,,false
A7,S19,actb,Unknown,Amp,13.20277,13.156906,0.9874571,0.06486096,true,0.05068968,true,3,10,81.69879,,,false
A8,S20,actb,Unknown,Amp,12.594681,12.63302,0.98945034,0.054220404,true,0.05068968,true,3,9,81.55881,,,false
A9,S21,actb,Unknown,Amp,12.796615,13.0118065,0.98615146,0.3043279,true,0.05068968,true,3,9,81.69879,,,false
A10,S22,actb,Unknown,Amp,13.684189,13.645686,0.990571,0.05445103,true,0.05068968,true,3,10,81.69879,,,false
A11,S23,actb,Unknown,Amp,14.235098,14.134796,0.9839126,0.14184876,true,0.05068968,true,3,11,81.41882,,,false
A12,S24,actb,Unknown,Amp,13.709727,13.644255,0.9757089,0.09259224,true,0.05068968,true,3,10,81.27884,,,false
B1,S13,actb,Unknown,Amp,13.718722,13.944395,0.98584336,0.31914875,true,0.05068968,true,3,10,81.41882,,,false
B2,S14,actb,Unknown,Amp,12.824643,12.9735565,0.9903259,0.21059532,true,0.05068968,true,3,9,81.41882,,,false
B3,S15,actb,Unknown,Amp,12.897458,12.768053,0.99476177,0.18300566,true,0.05068968,true,3,9,81.27884,,,false
B4,S16,actb,Unknown,Amp,13.351783,13.355926,0.9895827,0.005858749,true,0.05068968,true,3,10,81.138855,,,false
B5,S17,actb,Unknown,Amp,13.5552225,13.584133,0.9844368,0.040885814,true,0.05068968,true,3,10,81.55881,,,false
B6,S18,actb,Unknown,Amp,14.144386,14.132284,0.9884513,0.017114317,true,0.05068968,true,3,11,81.55881,,,false
B7,S19,actb,Unknown,Amp,13.111043,13.156906,0.98366284,0.06486096,true,0.05068968,true,3,10,81.69879,,,false
B8,S20,actb,Unknown,Amp,12.67136,12.63302,0.98793507,0.054220404,true,0.05068968,true,3,9,81.55881,,,false
B9,S21,actb,Unknown,Amp,13.226999,13.0118065,0.95793396,0.3043279,true,0.05068968,true,3,10,81.55881,,,false
B10,S22,actb,Unknown,Amp,13.607183,13.645686,0.9842227,0.05445103,true,0.05068968,true,3,10,81.55881,,,false
B11,S23,actb,Unknown,Amp,14.034493,14.134796,0.9853889,0.14184876,true,0.05068968,true,3,11,81.41882,,,false
B12,S24,actb,Unknown,Amp,13.578782,13.644255,0.98327005,0.09259224,true,0.05068968,true,3,10,81.41882,,,false
C1,S13,Ub2l3,Unknown,Amp,19.154207,19.100101,0.97380364,0.07651575,true,0.069173746,true,3,15,80.15896,,,false
C2,S14,Ub2l3,Unknown,Amp,18.304853,18.179768,0.9752565,0.17689943,true,0.069173746,true,3,14,80.018974,,,false
C3,S15,Ub2l3,Unknown,Amp,19.113293,18.950195,0.96972984,0.23065452,true,0.069173746,true,3,15,79.87899,,,false
C4,S16,Ub2l3,Unknown,Amp,18.549303,18.462753,0.97382313,0.122399844,true,0.069173746,true,3,15,79.87899,,,false
C5,S17,Ub2l3,Unknown,Amp,18.271944,18.597342,0.98395956,0.46018153,true,0.069173746,true,3,14,80.29894,,,false
C6,S18,Ub2l3,Unknown,Amp,19.35743,19.4006,0.9776865,0.061052915,true,0.069173746,true,3,15,80.29894,,,false
C7,S19,Ub2l3,Unknown,Amp,19.961586,19.50219,0.98096466,0.6496859,true,0.069173746,true,3,16,80.15896,,,false
C8,S20,Ub2l3,Unknown,Amp,17.642893,17.44175,0.9800798,0.28445953,true,0.069173746,true,3,14,80.29894,,,false
C9,S21,Ub2l3,Unknown,Amp,17.70787,17.656078,0.98093706,0.073243804,true,0.069173746,true,3,14,80.29894,,,false
C10,S22,Ub2l3,Unknown,Amp,18.615232,18.6562,0.982198,0.057937417,true,0.069173746,true,3,15,80.438934,,,false
C11,S23,Ub2l3,Unknown,Amp,19.149755,19.19153,0.975947,0.059078418,true,0.069173746,true,3,15,80.018974,,,false
C12,S24,Ub2l3,Unknown,Amp,18.490427,18.39795,0.97513855,0.1307847,true,0.069173746,true,3,15,80.018974,,,false
D1,S13,Ub2l3,Unknown,Amp,19.045998,19.100101,0.9725642,0.07651575,true,0.069173746,true,3,15,80.15896,,,false
D2,S14,Ub2l3,Unknown,Amp,18.05468,18.179768,0.97522485,0.17689943,true,0.069173746,true,3,14,80.018974,,,false
D3,S15,Ub2l3,Unknown,Amp,18.787098,18.950195,0.98536897,0.23065452,true,0.069173746,true,3,15,79.87899,,,false
D4,S16,Ub2l3,Unknown,Amp,18.376204,18.462753,0.9781443,0.122399844,true,0.069173746,true,3,14,80.018974,,,false
D5,S17,Ub2l3,Unknown,Amp,18.922739,18.597342,0.9714286,0.46018153,true,0.069173746,true,3,15,80.15896,,,false
D6,S18,Ub2l3,Unknown,Amp,19.443771,19.4006,0.97464633,0.061052915,true,0.069173746,true,3,15,80.15896,,,false
D7,S19,Ub2l3,Unknown,Amp,19.042791,19.50219,0.9749639,0.6496859,true,0.069173746,true,3,15,80.15896,,,false
D8,S20,Ub2l3,Unknown,Amp,17.240606,17.44175,0.9765086,0.28445953,true,0.069173746,true,3,13,80.29894,,,false
D9,S21,Ub2l3,Unknown,Amp,17.604288,17.656078,0.9849643,0.073243804,true,0.069173746,true,3,14,80.29894,,,false
D10,S22,Ub2l3,Unknown,Amp,18.697168,18.6562,0.9820413,0.057937417,true,0.069173746,true,3,15,80.29894,,,false
D11,S23,Ub2l3,Unknown,Amp,19.233305,19.19153,0.9814772,0.059078418,true,0.069173746,true,3,15,79.87899,,,false
D12,S24,Ub2l3,Unknown,Amp,18.30547,18.39795,0.9873412,0.1307847,true,0.069173746,true,3,14,80.018974,,,false
E1,S13,Nkx23-2,Unknown,Amp,26.8407,26.782463,0.9420879,0.082358316,true,0.04,true,3,24,85.61838,,,false
E2,S14,Nkx23-2,Unknown,Amp,26.333557,26.359447,0.9038777,0.036613137,true,0.04,true,3,23,85.61838,,,false
E3,S15,Nkx23-2,Unknown,Amp,27.3608,27.101355,0.9129382,0.3669109,true,0.04,true,3,24,85.47839,,,false
E4,S16,Nkx23-2,Unknown,Amp,26.897337,26.778915,0.9461884,0.16747338,true,0.04,true,3,24,85.47839,,,false
E5,S17,Nkx23-2,Unknown,Amp,26.814861,26.832008,0.9116367,0.024248263,true,0.04,true,3,24,85.75836,,,false
E6,S18,Nkx23-2,Unknown,Amp,27.530022,27.485958,0.9652425,0.062313948,true,0.04,true,3,24,85.75836,,,false
E7,S19,Nkx23-2,Unknown,Amp,25.584612,25.930267,0.8635978,0.48883197,true,0.04,true,3,22,85.75836,,,false
E8,S20,Nkx23-2,Unknown,Amp,26.249237,26.089413,0.90066713,0.22602715,true,0.04,true,3,23,85.75836,,,false
E9,S21,Nkx23-2,Unknown,Amp,26.13075,26.255787,0.9013597,0.1768293,true,0.04,true,3,23,85.898346,,,false
E10,S22,Nkx23-2,Unknown,Amp,26.713095,26.724209,0.9262964,0.01571774,true,0.04,true,3,24,85.898346,,,false
E11,S23,Nkx23-2,Unknown,Amp,27.135595,27.062416,0.95349467,0.103489734,true,0.04,true,3,24,85.33841,,,false
E12,S24,Nkx23-2,Unknown,Amp,26.522396,26.537785,0.91790366,0.02176261,true,0.04,true,3,23,85.47839,,,false
F1,S13,Nkx23-2,Unknown,Amp,26.724228,26.782463,0.93974376,0.082358316,true,0.04,true,3,24,85.75836,,,false
F2,S14,Nkx23-2,Unknown,Amp,26.385336,26.359447,0.9212094,0.036613137,true,0.04,true,3,23,85.61838,,,false
